25/02/2019 12:04
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
479999.100000,0.101000,0.000000,0.000000,0.000000,56.552778,460.000000,10.000000,10.000000,10.000000,10.000000
483279.200000,0.099000,0.000000,0.000000,0.000000,56.545833,470.000000,10.000000,10.000000,10.000000,10.000000
486559.649000,0.100000,0.000000,0.000000,0.000000,56.537500,470.000000,10.000000,10.000000,10.000000,10.000000
489840.000000,0.101000,0.000000,0.000000,0.000000,56.530556,480.000000,10.000000,10.000000,10.000000,10.000000
493120.700000,0.100000,0.000000,0.000000,0.000000,56.523611,480.000000,10.000000,10.000000,10.000000,10.000000
496401.600000,0.100000,0.000000,0.000000,0.000000,56.515278,490.000000,10.000000,10.000000,10.000000,10.000000
499682.700000,0.100000,0.000000,0.000000,0.000000,56.506944,490.000000,10.000000,10.000000,10.000000,10.000000
502964.000000,0.100000,0.000000,0.000000,0.000000,56.500000,500.000000,10.000000,10.000000,10.000000,10.000000
506245.655000,0.100000,0.000000,0.000000,0.000000,56.493056,500.000000,10.000000,10.000000,10.000000,10.000000
509527.200000,0.101000,0.000000,0.000000,0.000000,56.486111,510.000000,10.000000,10.000000,10.000000,10.000000
512809.100000,0.100000,0.000000,0.000000,0.000000,56.476389,510.000000,10.000000,10.000000,10.000000,10.000000
516091.200000,0.100000,0.000000,0.000000,0.000000,56.469444,520.000000,10.000000,10.000000,10.000000,10.000000
519373.500000,0.100000,0.000000,0.000000,0.000000,56.461111,520.000000,10.000000,10.000000,10.000000,10.000000
522656.000000,0.100000,0.000000,0.000000,0.000000,56.454167,530.000000,10.000000,10.000000,10.000000,10.000000
525938.700000,0.100000,0.000000,0.000000,0.000000,56.445833,530.000000,10.000000,10.000000,10.000000,10.000000
529221.600000,0.101000,0.000000,0.000000,0.000000,56.436111,540.000000,10.000000,10.000000,10.000000,10.000000
532504.700000,0.100000,0.000000,0.000000,0.000000,56.427778,540.000000,10.000000,10.000000,10.000000,10.000000
535788.000000,0.099000,0.000000,0.000000,0.000000,56.419444,550.000000,10.000000,10.000000,10.000000,10.000000
539071.665000,0.100000,0.000000,0.000000,0.000000,56.412500,550.000000,10.000000,10.000000,10.000000,10.000000
542355.366000,0.101000,0.000000,0.000000,0.000000,56.404167,560.000000,10.000000,10.000000,10.000000,10.000000
545639.100000,0.101000,0.000000,0.000000,0.000000,56.395833,560.000000,10.000000,10.000000,10.000000,10.000000
548923.200000,0.099000,0.000000,0.000000,0.000000,56.386111,570.000000,10.000000,10.000000,10.000000,10.000000
552207.669000,0.100000,0.000000,0.000000,0.000000,56.377778,570.000000,10.000000,10.000000,10.000000,10.000000
555492.000000,0.101000,0.000000,0.000000,0.000000,56.368056,580.000000,10.000000,10.000000,10.000000,10.000000
558776.700000,0.100000,0.000000,0.000000,0.000000,56.359722,580.000000,10.000000,10.000000,10.000000,10.000000
562061.600000,0.100000,0.000000,0.000000,0.000000,56.350000,590.000000,10.000000,10.000000,10.000000,10.000000
565346.700000,0.100000,0.000000,0.000000,0.000000,56.341667,590.000000,10.000000,10.000000,10.000000,10.000000
568632.000000,0.100000,0.000000,0.000000,0.000000,56.333333,600.000000,10.000000,10.000000,10.000000,10.000000
571917.500000,0.100000,0.000000,0.000000,0.000000,56.323611,600.000000,10.000000,10.000000,10.000000,10.000000
575203.200000,0.101000,0.000000,0.000000,0.000000,56.315278,610.000000,10.000000,10.000000,10.000000,10.000000
578489.100000,0.100000,0.000000,0.000000,0.000000,56.305556,610.000000,10.000000,10.000000,10.000000,10.000000
581775.200000,0.100000,0.000000,0.000000,0.000000,56.295833,620.000000,10.000000,10.000000,10.000000,10.000000
585061.500000,0.100000,0.000000,0.000000,0.000000,56.286111,620.000000,10.000000,10.000000,10.000000,10.000000
588348.000000,0.100000,0.000000,0.000000,0.000000,56.276389,630.000000,10.000000,10.000000,10.000000,10.000000
591634.700000,0.100000,0.000000,0.000000,0.000000,56.266667,630.000000,10.000000,10.000000,10.000000,10.000000
594921.782000,0.100000,0.000000,0.000000,0.000000,56.256944,640.000000,10.000000,10.000000,10.000000,10.000000
598208.700000,0.101000,0.000000,0.000000,0.000000,56.247222,640.000000,10.000000,10.000000,10.000000,10.000000
601496.000000,0.100000,0.000000,0.000000,0.000000,56.237500,650.000000,10.000000,10.000000,10.000000,10.000000
604783.500000,0.100000,0.000000,0.000000,0.000000,56.226389,650.000000,10.000000,10.000000,10.000000,10.000000
608071.200000,0.100000,0.000000,0.000000,0.000000,56.216667,660.000000,10.000000,10.000000,10.000000,10.000000
611359.100000,0.100000,0.000000,0.000000,0.000000,56.206944,660.000000,10.000000,10.000000,10.000000,10.000000
614647.388000,0.100000,0.000000,0.000000,0.000000,56.195833,670.000000,10.000000,10.000000,10.000000,10.000000
617935.689000,0.101000,0.000000,0.000000,0.000000,56.186111,670.000000,10.000000,10.000000,100.000000,10.000000
621224.000000,0.100000,0.000000,0.000000,0.000000,56.176389,770.000000,10.000000,10.000000,100.000000,10.000000
624512.700000,0.100000,0.000000,0.000000,0.000000,56.162500,770.000000,10.000000,10.000000,100.000000,10.000000
627801.600000,0.100000,0.000000,0.000000,0.000000,56.150000,870.000000,10.000000,10.000000,100.000000,10.000000
631090.700000,0.100000,0.000000,0.000000,0.000000,56.137500,870.000000,10.000000,10.000000,100.000000,10.000000
634380.194000,0.100000,0.000000,0.000000,0.000000,56.123611,970.000000,10.000000,10.000000,100.000000,10.000000
637669.500000,0.101000,0.000000,0.000000,0.000000,56.108333,970.000000,10.000000,10.000000,100.000000,0.000000
640959.396000,0.099000,0.000000,0.000000,0.000000,56.094444,1070.000000,10.000000,10.000000,100.000000,0.000000
