Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel,,Test Time,25/02/2019
372219540,0,0,0,-76.775,40000,10,10,1000,1000,,,
373395473,0,0,0,-77.679167,40000,10,10,1000,1000,,,
374571696,0,0,0,-78.5875,40000,10,10,1000,1000,,,
375748542,0,0,0,-79.491667,40000,10,10,1000,1000,,,
376925346,0,0,0,-80.402778,40000,10,10,1000,1000,,,
378102440,0,0,0,-81.313889,40000,10,10,1000,1000,,,
379280160,0,0,0,-82.222222,40000,10,10,1000,1000,,,
380458509,0,0,0,-83.134722,40000,10,10,1000,1000,,,
381636476,0,0,0,-84.05,40000,10,10,1000,1000,,,
382815072,0,0,0,-84.958333,40000,10,10,1000,1000,,,
383993960,0,0,0,-85.876389,40000,10,10,1000,1000,,,
385173140,0,0,0,-86.7875,40000,10,10,1000,1000,,,
386352954,0,0,0,-87.698611,40000,10,10,1000,1000,,,
387532719,0,0,0,-88.618056,40000,10,10,1000,1000,,,
388712776,0,0,0,-89.531944,40000,10,10,1000,1000,,,
389893470,0,0,0,-90.447222,40000,10,10,1000,1000,,,
391074458,0,0,0,-91.368056,40000,10,10,1000,1000,,,
392255740,0,0,0,-92.286111,40000,10,10,1000,1000,,,
393437316,0,0,0,-93.206944,40000,10,10,1000,1000,,,
394619186,0,0,0,-94.126389,40000,10,10,1000,1000,,,
395801350,0,0,0,-95.043056,40000,10,10,1000,1000,,,
396984159,0,0,0,-95.965278,40000,10,10,1000,1000,,,
398167616,0,0,0,-96.890278,40000,10,10,1000,1000,,,
399350665,0,0,0,-97.819444,40000,10,10,1000,1000,,,
400534716,0,0,0,-98.741667,40000,10,10,1000,1000,,,
401718710,0,0,0,-99.672222,40000,10,10,1000,1000,,,
402903356,0,0,0,-100.602778,40000,10,10,1000,1000,,,
404087943,0,0,0,-101.531944,40000,10,10,1000,1000,,,
405272826,0,0,0,-102.459722,40000,10,10,1000,1000,,,
406458723,0,0,0,-103.386111,40000,10,10,1000,1000,,,
407644200,0,0,0,-104.319444,40000,10,10,1000,1000,,,
408830334,0,0,0,-105.251389,40000,10,10,1000,1000,,,
410016766,0,0,0,-106.181944,40000,10,10,1000,1000,,,
411203859,0,0,0,-107.111111,40000,10,10,1000,1000,,,
412391252,0,0,0,-108.047222,40000,10,10,1000,1000,,,
413578945,0,0,0,-108.984722,40000,10,10,1000,1000,,,
414766572,0,0,0,-109.923611,40000,10,10,1000,1000,,,
415954497,0,0,0,-110.855556,40000,10,10,1000,1000,,,
417143456,0,0,0,-111.793056,40000,10,10,1000,1000,,,
418331979,0,0,0,-112.731944,40000,10,10,1000,1000,,,
419521170,0,0,0,-113.668056,40000,10,10,1000,1000,,,
420710661,0,0,0,-114.604167,40000,10,10,1000,1000,,,
421900452,0,0,0,-115.541667,40000,10,10,1000,1000,,,
423090543,0,0,0,-116.480556,40000,10,10,1000,1000,,,
424280934,0,0,0,-117.418056,40000,10,10,1000,1000,,,
425472000,0,0,0,-118.358333,40000,10,10,1000,1000,,,
426663368,0,0,0,-119.305556,40000,10,10,1000,1000,,,
427855415,0,0,0,-120.248611,40000,10,10,1000,1000,,,
429047766,0,0,0,-121.197222,40000,10,10,1000,1000,,,
430240421,0,0,0,-122.15,40000,10,10,1000,1000,,,
431433380,0,0,0,-123.097222,40000,10,10,1000,1000,,,
432626643,0,0,0,-124.052778,40000,10,10,1000,1000,,,
433820592,0,0,0,-125.004167,40000,10,10,1000,1000,,,
435014081,0,0,0,-125.958333,40000,10,10,1000,1000,,,
436208640,0,0,0,-126.905556,40000,10,10,1000,1000,,,
437403120,0,0,0,-127.859722,40000,10,10,1000,1000,,,
438598290,0,0,0,-128.813889,40000,10,10,1000,1000,,,
439793766,0,0,0,-129.770833,40000,10,10,1000,1000,,,
440989548,0,0,0,-130.726389,40000,10,10,1000,1000,,,
442185636,0,0,0,-131.686111,40000,10,10,1000,1000,,,
443382030,0,0,0,-132.638889,40000,10,10,1000,1000,,,
444579121,0,0,0,-133.604167,40000,10,10,1000,1000,,,
445776128,0,0,0,-134.565278,40000,10,10,1000,1000,,,
446973441,0,0,0,-135.519444,40000,10,10,1000,1000,,,
448171454,0,0,0,-136.477778,40000,10,10,1000,1000,,,
449369775,0,0,0,-137.441667,40000,10,10,1000,1000,,,
450568800,0,0,0,-138.405556,40000,10,10,1000,1000,,,
451767738,0,0,0,-139.370833,40000,10,10,1000,1000,,,
452966984,0,0,0,-140.3375,40000,10,10,1000,1000,,,
454166538,0,0,0,-141.298611,40000,10,10,1000,1000,,,
455366400,0,0,0,-142.261111,40000,10,10,1000,1000,,,
456566570,0,0,0,-143.223611,40000,10,10,1000,1000,,,
457767450,0,0,0,-144.190278,40000,10,10,1000,1000,,,
458968640,0,0,0,-145.159722,40000,10,10,1000,1000,,,
460170140,0,0,0,-146.131944,40000,10,10,1000,1000,,,
461371950,0,0,0,-147.095833,40000,10,10,1000,1000,,,
462574070,0,0,0,-148.069444,40000,10,10,1000,1000,,,
463776500,0,0,0,-149.036111,40000,10,10,1000,1000,,,
464979240,0,0,0,-150.005556,40000,10,10,1000,1000,,,
466182290,0,0,0,-150.973611,40000,10,10,1000,1000,,,
467386060,0,0,0,-151.945833,40000,10,10,1000,1000,,,
468590553,0,0,0,-152.920833,40000,10,10,1000,1000,,,
469794536,0,0,0,-153.9,40000,10,10,1000,1000,,,
470999242,0,0,0,-154.875,40000,10,10,1000,1000,,,
472204260,0,0,0,-155.848611,40000,10,10,1000,1000,,,
473409590,0,0,0,-156.823611,40000,10,10,1000,1000,,,
474615232,0,0,0,-157.8,40000,10,10,1000,1000,,,
475821186,0,0,0,-158.776389,40000,10,10,1000,1000,,,
477027870,0,0,0,-159.754167,40000,10,10,1000,1000,,,
478234868,0,0,0,-160.7375,40000,10,10,1000,1000,,,
479442180,0,0,0,-161.719444,40000,10,10,1000,1000,,,
480650227,0,0,0,-162.7,40000,10,10,1000,1000,,,
481858590,0,0,0,-163.684722,40000,10,10,1000,1000,,,
483067269,0,0,0,-164.673611,40000,10,10,1000,1000,,,
484275840,0,0,0,-165.659722,40000,10,10,1000,1000,,,
485484725,0,0,0,-166.644444,40000,10,10,1000,1000,,,
486694776,0,0,0,-167.630556,40000,10,10,1000,1000,,,
487904718,0,0,0,-168.622222,40000,10,10,1000,1000,,,
489114976,0,0,0,-169.613889,40000,10,10,1000,1000,,,
490325979,0,0,0,-170.602778,40000,10,10,1000,1000,,,
491537300,0,0,0,-171.598611,40000,10,10,1000,1000,,,
492749370,0,0,0,-172.593056,40000,10,10,1000,1000,,,
493960896,0,0,0,-173.5875,40000,10,10,1000,1000,,,
