25/02/2019 12:00,,,,,,,,,,,,
Time (s),Time step (s),X dist,X duty,X freq,Y dist,Y velocity,Y acc,Y freq, X accel, X decel, Y accel, Y decel
1000735.5,0.1,0,0,0,49.709722,497.09722,-10,6470,10,10,100,100
1004047.2,0.1,0,0,0,49.608333,496.08333,-10.1389,6570,10,10,100,100
1007359.1,0.1,0,0,0,49.504167,495.04167,-10.4166,6570,10,10,100,100
1010671.508,0.1,0,0,0,49.401389,494.01389,-10.2778,6670,10,10,100,100
1013983.5,0.101,0,0,0,49.297222,488.0913069,-58.63943633,6670,10,10,100,100
1017296,0.1,0,0,0,49.191667,491.91667,38.25363069,6770,10,10,100,100
1020609.011,0.099,0,0,0,49.088889,495.8473636,39.70397612,6770,10,10,100,100
1023921.912,0.101,0,0,0,48.979167,484.9422475,-107.9714466,6870,10,10,100,100
1027235.013,0.101,0,0,0,48.870833,483.8696337,-10.61993922,6870,10,10,100,100
1030548,0.1,0,0,0,48.763889,487.63889,37.69256337,6970,10,10,100,100
1033861.5,0.099,0,0,0,48.656944,491.4842828,38.8423518,6970,10,10,100,100
1037175.2,0.101,0,0,0,48.547222,480.6655644,-107.1160245,7070,10,10,100,100
1040489.417,0.099,0,0,0,48.4375,489.2676768,86.89002436,7070,10,10,100,100
1043803.518,0.101,0,0,0,48.326389,478.479099,-106.8176016,7170,10,10,100,100
1047117.819,0.101,0,0,0,48.211111,477.3377327,-11.3006568,7170,10,10,100,100
1050432,0.1,0,0,0,48.098611,480.98611,36.48377327,7270,10,10,100,100
1053746.7,0.099,0,0,0,47.990278,484.7502828,38.02194776,7270,10,10,100,100
1057061.6,0.101,0,0,0,47.873611,473.9961485,-106.4765774,7370,10,10,100,100
1060377.023,0.099,0,0,0,47.759722,482.4214343,85.10389726,7370,10,10,100,100
1063692,0.101,0,0,0,47.641667,471.6996733,-106.1560503,7470,10,10,100,100
1067007.5,0.1,0,0,0,47.527778,475.27778,35.78106733,7470,10,10,100,100
